query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	intersection
CD4 Teff	TRUE	7.484081232968117e-11	301	174	42	0.2413793103448276	0.13953488372093023	GO:0030155	GO:BP	regulation of cell adhesion	4972	7003	Lgals1,Cd44,S100a10,Ifng,Cd4,Rbpj,Cd28,Dusp1,Iqgap1,Anxa1,Rgcc,Csf1,Cd6,Klf4,Myadm,Thy1,Tnfsf11,Ccr2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Actb,Cd5,Slamf1,Tbx21,Cdk6,Actg1,Itgal,Dock8,Gata3,Fgl2,Cxcr3,Spn,Coro1a,Arpc2,Cdc42,Cfl1,Laptm5,Rac2
CD4 Teff	TRUE	4.0251700754422964e-10	391	174	47	0.27011494252873564	0.12020460358056266	GO:0007155	GO:BP	cell adhesion	4972	2766	Lgals1,Cd44,S100a10,Ifng,Cd4,Rbpj,Cd28,Dusp1,Iqgap1,Anxa1,Rgcc,Cd2,Csf1,Cd6,Klf4,Myadm,Thy1,Tnfsf11,Ccr2,Zyx,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Actb,Cd5,Slamf1,Tbx21,Cdk6,Actg1,Itgal,Dock8,Nptn,Gata3,Pkp3,Fgl2,Cxcr3,Spn,Coro1a,Arpc2,Ctnna1,Cdc42,Cfl1,Laptm5,Rac2
CD4 Teff	TRUE	2.77840196620462e-9	233	174	35	0.20114942528735633	0.15021459227467812	GO:0009986	GO:CC	cell surface	4972	663	Lgals1,Cd44,S100a10,Ifng,Cd4,Ly6a,Cd28,Anxa1,Anxa2,Tnfrsf4,Cd2,Cd6,Thy1,Ccr2,Anxa5,H2-D1,Cd40lg,Adam8,Ctla4,Capn2,Il2ra,Cd47,Cd5,Slamf1,Pdcd1,Atpif1,Cd3g,Itgal,Nptn,Trpv2,Cxcr3,Spn,Antxr2,Arsb,Arpc2
CD4 Teff	TRUE	3.248438158448084e-8	281	174	37	0.21264367816091953	0.13167259786476868	GO:0042110	GO:BP	T cell activation	4972	10466	Lgals3,Lgals1,Cd44,Ifng,Cd4,Cd28,Anxa1,Tnfrsf4,Cd2,Cd6,Thy1,Tnfsf11,Ccr2,Runx2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Rora,Actb,Cd5,Slamf1,Tbx21,Lcp1,Cdk6,Cd3g,Itgal,Dock8,Igtp,Gata3,Fgl2,Spn,Coro1a,Laptm5,Rac2
CD4 Teff	TRUE	4.818013441995984e-8	270	174	36	0.20689655172413793	0.13333333333333333	GO:0098609	GO:BP	cell-cell adhesion	4972	19697	Lgals1,Cd44,Ifng,Cd4,Cd28,Anxa1,Rgcc,Cd2,Cd6,Klf4,Myadm,Thy1,Tnfsf11,Ccr2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Actb,Cd5,Slamf1,Tbx21,Itgal,Dock8,Nptn,Gata3,Pkp3,Fgl2,Spn,Coro1a,Ctnna1,Cdc42,Laptm5,Rac2
CD4 Teff	TRUE	3.0936870219478584e-7	176	174	28	0.16091954022988506	0.1590909090909091	GO:1903037	GO:BP	regulation of leukocyte cell-cell adhesion	4972	23641	Lgals1,Cd44,Ifng,Cd4,Cd28,Anxa1,Cd6,Klf4,Thy1,Tnfsf11,Ccr2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Actb,Cd5,Slamf1,Tbx21,Itgal,Dock8,Gata3,Fgl2,Spn,Coro1a,Laptm5
CD4 Teff	TRUE	3.2620172430180864e-7	415	174	44	0.25287356321839083	0.10602409638554217	GO:0045321	GO:BP	leukocyte activation	4972	11966	Lgals3,Lgals1,Cd44,Ifng,Id2,Cd4,Rbpj,Cd28,Samsn1,Anxa1,Tnfrsf4,Cd2,Cd6,Thy1,Jund,Tnfsf11,Ccr2,Runx2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Rora,Actb,Cd5,Slamf1,Tbx21,Lcp1,Cdk6,Syt11,Cd3g,Cmtm7,Itgal,Dock8,Igtp,Gata3,Fgl2,Spn,Lcp2,Coro1a,Laptm5,Rac2
CD4 Teff	TRUE	4.455513465160018e-7	453	174	46	0.26436781609195403	0.10154525386313466	GO:0001775	GO:BP	cell activation	4972	450	Lgals3,Lgals1,Cd44,Ifng,Id2,Cd4,Rbpj,Cd28,Samsn1,Anxa1,Tnfrsf4,Rgcc,Cd2,Cd6,Thy1,Jund,Tnfsf11,Ccr2,Runx2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Rora,Actb,Cd5,Slamf1,Zeb2,Tbx21,Lcp1,Cdk6,Syt11,Cd3g,Cmtm7,Itgal,Dock8,Igtp,Gata3,Fgl2,Spn,Lcp2,Coro1a,Laptm5,Rac2
CD4 Teff	TRUE	5.182486296447837e-7	206	174	30	0.1724137931034483	0.14563106796116504	GO:0045785	GO:BP	positive regulation of cell adhesion	4972	12232	Lgals1,Cd44,S100a10,Ifng,Cd4,Cd28,Iqgap1,Anxa1,Csf1,Cd6,Myadm,Thy1,Tnfsf11,Ccr2,Cd40lg,Adam8,Il2ra,Cd47,Actb,Cd5,Slamf1,Cdk6,Itgal,Dock8,Gata3,Spn,Coro1a,Arpc2,Cdc42,Cfl1
CD4 Teff	TRUE	5.413739117353199e-7	193	174	29	0.16666666666666666	0.15025906735751296	GO:0007159	GO:BP	leukocyte cell-cell adhesion	4972	2770	Lgals1,Cd44,Ifng,Cd4,Cd28,Anxa1,Cd6,Klf4,Thy1,Tnfsf11,Ccr2,Ndfip1,Cd40lg,Adam8,Ctla4,Il2ra,Cd47,Actb,Cd5,Slamf1,Tbx21,Itgal,Dock8,Gata3,Fgl2,Spn,Coro1a,Laptm5,Rac2
